groupID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,normCount_Control,normCount_Experimental,normCount.Control_S1,normCount.Control_S2,normCount.Control_S3,normCount.Experimental_S4,normCount.Experimental_S5,normCount.Experimental_S6
AACS,242.467197754101,0.206492012002457,0.337017683076841,0.612703790843452,0.540072215512211,0.996294710336961,217.419031720916,267.515363787286,221.123630074248,153.354754855359,277.778710233142,213.069621478846,392.692028320505,196.784441562506
AAGAB,929.491493623057,0.118349566531607,0.182786561781747,0.647474110667504,0.517325144874834,0.994447194724684,882.1620544531,976.820932793013,786.217351375105,1033.56903272379,826.69977926041,913.783118919589,1140.19113974321,876.488539716241
AAK1,389.867909220991,-0.363602910572909,0.260719736692195,-1.39461214247151,0.163132831467707,0.975339452879178,440.768659488339,338.967158953643,457.971607175999,357.127511306999,507.206859982018,332.783996433456,258.637606778811,425.479873648661
AARS1,724.902991640706,-0.175981358712627,0.199679913756209,-0.88131728125386,0.37814611514497,0.992443630108828,772.036314565977,677.769668715434,775.406862793697,692.197146915625,848.504933988609,589.785498629591,668.086437792027,775.437069724684
AARS2,73.4593987131132,-0.0251939226895802,0.647580957016086,-0.0389046688551009,0.968966394180756,0.998879356112684,73.8427096566259,73.0760877696004,48.1558127717252,115.541253658147,57.8310625400057,115.321186882881,53.9131912722028,49.9938851537176
AASDHPPT,182.074749131654,0.268644431596805,0.373132049769089,0.719971473270802,0.471542559717958,0.994447194724684,164.361401923338,199.788096339971,195.571566154557,134.448004256753,163.064635358705,209.77473042505,209.824311978303,179.765246616559
AASS,91.840791020306,-0.397054265040781,0.54122212398457,-0.733625340585856,0.463177112283421,0.994447194724684,104.721141361941,78.9604406786713,90.4149954081371,107.1382533921,116.610175285585,119.71437495461,45.8990682452538,71.2678788361507
ABAT,22.6681137106477,2.41812193860795,1.23255487416367,1.96187771375999,0.0497767230605663,0.857187196127094,12.6391431379832,32.6970842833122,13.7588036490643,24.1586257648852,0,40.6369896634913,13.8425761374575,43.6116870489877
ABCA1,48.8167209930973,-0.505307926684335,0.896680726514583,-0.563531602433876,0.573072946868184,0.996294710336961,48.9725733952731,48.6608685909215,69.7767899345406,61.9721269620969,15.1688032891818,60.4063359862709,84.512570102372,1.06369968412165
ABCA5,69.1718118479968,-0.85191076811029,0.886493678492465,-0.960989106610455,0.336557645121488,0.986983139323132,83.8033227705862,54.5403009254074,61.9146164207895,76.6773774276793,112.81797446329,91.1586524883725,71.3985506037281,1.06369968412165
ABCB10,65.4710417203113,0.940119049181513,0.640615404895651,1.46752488622194,0.142233324504328,0.974401534329554,46.2375581368087,84.7045253038139,49.1385844609441,24.1586257648852,65.4154641845967,109.82970179322,65.5700974932197,78.7137766250022
ABCB7,96.6698628501113,-0.147656099694474,0.572674515298606,-0.25783598841915,0.796533488531081,0.996294710336961,102.859449080853,90.4802766193693,70.7595616237594,86.1307527269822,151.688032891818,34.0472075558982,126.768855153558,110.624767148652
ABCB8,43.0195721933056,0.572739281475429,0.747632232073832,0.766070879377052,0.443634129066468,0.994447194724684,33.829514582905,52.2096298037061,19.6554337843776,42.0150013302352,39.8181086341023,50.5216628248811,69.941437326101,36.1657892601362
ABCC4,285.494884688127,-0.152803246771536,0.306931166719583,-0.497842067994157,0.618595362366305,0.996294710336961,302.509961186348,268.479808189906,296.797050144102,264.694508380482,346.038325034461,217.462809550575,243.337917363726,344.638697655415
ABCC5,151.902201644183,0.664912752238085,0.439520105424865,1.51281532751577,0.130326574338959,0.974401534329554,117.862945130921,185.941458157445,93.3633104757937,170.160755387453,90.0647695295172,160.351364618101,146.439884401524,251.03312545271
ABCD3,177.323545760489,0.621369918301865,0.422627635478978,1.47025387395135,0.141493008575868,0.974401534329554,153.185144783485,201.461946737492,66.8284748668839,138.649504389776,254.077455093796,270.181066411321,140.611431291016,193.593342510141
ABCE1,667.059967356501,0.28539043117094,0.195998902312905,1.45608178312818,0.145370012779997,0.974401534329554,610.804496726389,723.315437986613,487.454757852565,590.310768689805,754.647963636796,728.170922889048,602.516340298807,839.259050771983
