groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
SMYD3,2,0,0,0.0593549613933681,NA,NA,NA,0.0646135923148069
ACOX3,4,0,0,0.0600333706035726,NA,NA,NA,0.0653249937873275
SEC22A,3,0,0,0.0600333706035726,NA,NA,NA,0.0654170444543309
ZNF33A,2,0,0,0.0602496012665933,NA,NA,NA,0.065547074352418
EPAS1,3,0,0,0.060271566983081,NA,NA,NA,0.065558310488247
TWIST2,3,0,0,0.0603091827265068,NA,NA,NA,0.0656005689358784
SAMD9L,2,0,0,0.0606191187830681,NA,NA,NA,0.0660458298643109
KIF14,2,0,0,0.0609911683759885,NA,NA,NA,0.0665602548581889
CCDC134,2,0,0,0.0609911683759885,NA,NA,NA,0.0666754866101004
MDH2,3,0,0,0.0612670115182828,NA,NA,NA,0.0668764769112983
HEATR1,5,0,0,0.0612670115182828,NA,NA,NA,0.0669039663089884
IGFBP3,2,0,0,0.0613005793364499,NA,NA,NA,0.0669274696356967
ERLIN2,6,0,0,0.0612670115182828,NA,NA,NA,0.0669787912684526
MTFMT,2,0,0,0.0612670115182828,NA,NA,NA,0.0670034409550629
WIPF1,3,0,0,0.0612670115182828,NA,NA,NA,0.0670057224686778
NKIRAS1,3,0,0,0.0612670115182828,NA,NA,NA,0.0670911300624715
RBMX,4,0,0,0.0612670115182828,NA,NA,NA,0.0671149215338002
PLRG1,4,0,0,0.0616441644138025,NA,NA,NA,0.0672885765322671
SYAP1,12,0,0,0.0616961982189066,NA,NA,NA,0.0673321965213569
ACADM,4,0,0,0.0619180703006875,NA,NA,NA,0.0676559213989172
MEF2A,9,0,0,0.0619180703006875,NA,NA,NA,0.0677464698484338
CTDSPL2,5,0,0,0.0619180703006875,NA,NA,NA,0.0677807560391925
GCFC2,2,0,0,0.0623079035448498,NA,NA,NA,0.0680804444348343
HYCC1,7,0,0,0.0624029968744612,NA,NA,NA,0.0681708772316087
LYRM2,7,0,0,0.0627862428758865,NA,NA,NA,0.0685752344071883
ABHD4,2,0,0,0.0632199645895404,NA,NA,NA,0.0690344433989359
MTG1,4,0,0,0.0635730475407447,NA,NA,NA,0.0695954041715839
KANSL2,2,0,0,0.0636025446740687,NA,NA,NA,0.0696961118046723
UQCC1,2,0,0,0.0638384756033743,NA,NA,NA,0.0699401392706823
FYN,3,0,0,0.0639726207247928,NA,NA,NA,0.0700729213689313
ISYNA1,2,0,0,0.0641211935945302,NA,NA,NA,0.0702214581138746
ABCG1,2,0,0,0.0641751317101751,NA,NA,NA,0.0702666464713556
PIAS1,8,0,0,0.0644174273818361,NA,NA,NA,0.0706118514170981
MRPL32,2,0,0,0.0644174273818361,NA,NA,NA,0.0706748443168223
SP2,3,0,0,0.0644174273818361,NA,NA,NA,0.0707190703208066
ARHGAP12,3,0,0,0.0644174273818361,NA,NA,NA,0.0707558318661465
TSC22D2,5,0,0,0.0646958114997404,NA,NA,NA,0.070902328706764
THSD4,2,0,0,0.0648455884575465,NA,NA,NA,0.0709436762041581
IFT56,2,0,0,0.0648455884575465,NA,NA,NA,0.0710222221795821
KATNAL1,6,0,0,0.0648455884575465,NA,NA,NA,0.0710347493989838
APOL2,2,0,0,0.0648455884575465,NA,NA,NA,0.0710542769304457
CIB1,3,0,0,0.0648455884575465,NA,NA,NA,0.071063407706317
MOB4,2,0,0,0.0648455884575465,NA,NA,NA,0.0710795245426359
ZNF266,2,0,0,0.0648455884575465,NA,NA,NA,0.0711853727513372
RIOK1,3,0,0,0.0648455884575465,NA,NA,NA,0.0712494141872531
CPSF2,8,0,0,0.0651546040248313,NA,NA,NA,0.071267415652805
SGTB,4,0,0,0.0652040433110283,NA,NA,NA,0.0713079983727433
CASP3,3,0,0,0.0648455884575465,NA,NA,NA,0.0713501673948697
FBXO33,3,0,0,0.0655352226104014,NA,NA,NA,0.071655794347196
EBPL,2,0,0,0.065596996677709,NA,NA,NA,0.0716965626360745
