28277
PRKCZ-AS1	PRKCZ-AS1	MissingGeneType
MGST2	MGST2	MissingGeneType
YJEFN3	YJEFN3	MissingGeneType
FBXO11	FBXO11	MissingGeneType
FAAP20	FAAP20	MissingGeneType
ATG16L1	ATG16L1	MissingGeneType
NFIC	NFIC	MissingGeneType
PBRM1	PBRM1	MissingGeneType
LOC100129534	LOC100129534	MissingGeneType
PRDM15	PRDM15	MissingGeneType
ZNF311	ZNF311	MissingGeneType
CPA4	CPA4	MissingGeneType
ADCY3	ADCY3	MissingGeneType
HROB	HROB	MissingGeneType
PLCH2	PLCH2	MissingGeneType
TNFSF8	TNFSF8	MissingGeneType
TNFRSF14-AS1	TNFRSF14-AS1	MissingGeneType
LOC100996583	LOC100996583	MissingGeneType
CRCP	CRCP	MissingGeneType
SARS1	SARS1	MissingGeneType
SORD	SORD	MissingGeneType
RMDN3	RMDN3	MissingGeneType
RNF5	RNF5	MissingGeneType
COPG2	COPG2	MissingGeneType
EPN3	EPN3	MissingGeneType
PRDM16-DT	PRDM16-DT	MissingGeneType
BAG6	BAG6	MissingGeneType
ZNF14	ZNF14	MissingGeneType
MIR4251	MIR4251	MissingGeneType
MIR551A	MIR551A	MissingGeneType
ADCY6	ADCY6	MissingGeneType
PPP1CC	PPP1CC	MissingGeneType
ILF3	ILF3	MissingGeneType
C19orf44	C19orf44	MissingGeneType
KLF7	KLF7	MissingGeneType
CHRAC1	CHRAC1	MissingGeneType
FOXD3	FOXD3	MissingGeneType
FKBP8	FKBP8	MissingGeneType
BZW1	BZW1	MissingGeneType
LRRC28	LRRC28	MissingGeneType
MADD	MADD	MissingGeneType
FAM170B	FAM170B	MissingGeneType
C5orf63	C5orf63	MissingGeneType
TEK	TEK	MissingGeneType
IRS2	IRS2	MissingGeneType
BOP1	BOP1	MissingGeneType
EXOC6B	EXOC6B	MissingGeneType
C19orf18	C19orf18	MissingGeneType
C4B	C4B	MissingGeneType
CDHR5	CDHR5	MissingGeneType
INPP5B	INPP5B	MissingGeneType
GLT1D1	GLT1D1	MissingGeneType
LINC01134	LINC01134	MissingGeneType
LINC01346	LINC01346	MissingGeneType
LINC01345	LINC01345	MissingGeneType
LINC01777	LINC01777	MissingGeneType
LINC01646	LINC01646	MissingGeneType
TACC2	TACC2	MissingGeneType
SHOX2	SHOX2	MissingGeneType
MIR4689	MIR4689	MissingGeneType
NANOGNB	NANOGNB	MissingGeneType
EXOG	EXOG	MissingGeneType
ZNF195	ZNF195	MissingGeneType
ERICH4	ERICH4	MissingGeneType
NDRG4	NDRG4	MissingGeneType
VRK2	VRK2	MissingGeneType
CELF2	CELF2	MissingGeneType
SEC11C	SEC11C	MissingGeneType
ARID3B	ARID3B	MissingGeneType
POF1B	POF1B	MissingGeneType
KIR2DL2	KIR2DL2	MissingGeneType
LCMT2	LCMT2	MissingGeneType
JAKMIP2	JAKMIP2	MissingGeneType
TRIM14	TRIM14	MissingGeneType
ARHGEF17	ARHGEF17	MissingGeneType
ARHGEF11	ARHGEF11	MissingGeneType
LOC102724450	LOC102724450	MissingGeneType
AIFM3	AIFM3	MissingGeneType
IL24	IL24	MissingGeneType
SGCZ	SGCZ	MissingGeneType
DMTN	DMTN	MissingGeneType
CYTL1	CYTL1	MissingGeneType
KCNJ16	KCNJ16	MissingGeneType
LENEP	LENEP	MissingGeneType
MIR4252	MIR4252	MissingGeneType
ZNF398	ZNF398	MissingGeneType
PNISR	PNISR	MissingGeneType
ALPK3	ALPK3	MissingGeneType
ALKBH6	ALKBH6	MissingGeneType
CTNND1	CTNND1	MissingGeneType
BCL2L13	BCL2L13	MissingGeneType
DMD	DMD	MissingGeneType
MUC4	MUC4	MissingGeneType
FSCN2	FSCN2	MissingGeneType
EIF4G1	EIF4G1	MissingGeneType
PPP2R5E	PPP2R5E	MissingGeneType
NAA16	NAA16	MissingGeneType
KIR2DS2	KIR2DS2	MissingGeneType
GPS2	GPS2	MissingGeneType
THAP3	THAP3	MissingGeneType
CAMTA1-DT	CAMTA1-DT	MissingGeneType
SORBS1	SORBS1	MissingGeneType
STK31	STK31	MissingGeneType
CD160	CD160	MissingGeneType
ZNRD1	ZNRD1	MissingGeneType
KIR3DS1	KIR3DS1	MissingGeneType
RHEBL1	RHEBL1	MissingGeneType
RPL10	RPL10	MissingGeneType
ANK2	ANK2	MissingGeneType
ROBO4	ROBO4	MissingGeneType
TSEN2	TSEN2	MissingGeneType
USP30	USP30	MissingGeneType
KDM6A	KDM6A	MissingGeneType
USHBP1	USHBP1	MissingGeneType
PRH1	PRH1	MissingGeneType
EVX1	EVX1	MissingGeneType
SLC8A1	SLC8A1	MissingGeneType
RCC1	RCC1	MissingGeneType
GMPR2	GMPR2	MissingGeneType
MMS22L	MMS22L	MissingGeneType
SNX14	SNX14	MissingGeneType
STXBP6	STXBP6	MissingGeneType
TMCC1	TMCC1	MissingGeneType
TMEM94	TMEM94	MissingGeneType
LINC01714	LINC01714	MissingGeneType
