groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
ACTR2,10,0,0,1,NA,NA,NA,1
ACTR3,15,0,0,1,NA,NA,NA,1
ACTR3B,2,0,0,1,NA,NA,NA,1
ACTR6,2,0,0,1,NA,NA,NA,1
ACTR8,5,0,0,1,NA,NA,NA,1
ACTRT3,3,0,0,1,NA,NA,NA,1
ACVR2A,2,0,0,1,NA,NA,NA,1
ACVRL1,3,0,0,1,NA,NA,NA,1
ACYP2,2,0,0,1,NA,NA,NA,1
ADAM10,9,0,0,1,NA,NA,NA,1
ADAM12,3,0,0,1,NA,NA,NA,1
ADAM17,4,0,0,1,NA,NA,NA,1
ADAM23,5,0,0,1,NA,NA,NA,1
ADAMTS1,6,0,0,1,NA,NA,NA,1
ADAMTSL1,3,0,0,1,NA,NA,NA,1
ADAMTSL5,2,0,0,1,NA,NA,NA,1
ADAR,2,0,0,1,NA,NA,NA,1
ADARB1,4,0,0,1,NA,NA,NA,1
ADAT1,5,0,0,1,NA,NA,NA,1
ADD3,2,0,0,1,NA,NA,NA,1
ADGRA2,2,0,0,1,NA,NA,NA,1
ADGRF5,3,0,0,1,NA,NA,NA,1
ADGRG6,2,0,0,1,NA,NA,NA,1
ADGRL2,3,0,0,1,NA,NA,NA,1
ADGRL4,8,0,0,1,NA,NA,NA,1
ADH5,4,0,0,1,NA,NA,NA,1
ADK,4,0,0,1,NA,NA,NA,1
ADNP,3,0,0,1,NA,NA,NA,1
ADNP2,2,0,0,1,NA,NA,NA,1
ADO,2,0,0,1,NA,NA,NA,1
ADSL,6,0,0,1,NA,NA,NA,1
ADSS2,2,0,0,1,NA,NA,NA,1
ADTRP,2,0,0,1,NA,NA,NA,1
AEBP2,3,0,0,1,NA,NA,NA,1
AFAP1,10,0,0,1,NA,NA,NA,1
AFAP1L1,2,0,0,1,NA,NA,NA,1
AFDN,2,0,0,1,NA,NA,NA,1
AFF4,5,0,0,1,NA,NA,NA,1
