groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
UBR3,6,0,0,0.649451947094867,NA,NA,NA,0.758634776144119
TCFL5,2,0,0,0.649056789360241,NA,NA,NA,0.758637370971829
PTPN1,5,0,0,0.649178800494874,NA,NA,NA,0.758639126117572
ZNF765,2,0,0,0.649370278618171,NA,NA,NA,0.758666906917139
ZBTB8A,6,0,0,0.649370278618171,NA,NA,NA,0.758704353061908
TAPT1,4,0,0,0.649451947094867,NA,NA,NA,0.758728130485505
STX2,3,0,0,0.649370278618171,NA,NA,NA,0.758786505624668
B4GALT7,2,0,0,0.649451947094867,NA,NA,NA,0.758835093655322
RPA3,3,0,0,0.649639273532307,NA,NA,NA,0.758934650407599
DDX46,6,0,0,0.649769151559441,NA,NA,NA,0.75894346665425
C1GALT1,4,0,0,0.650998219992596,NA,NA,NA,0.760426512322924
ZNF37A,5,0,0,0.651016379988158,NA,NA,NA,0.760572328474029
SEPTIN6,4,0,0,0.651223275456755,NA,NA,NA,0.760650474328738
SPAG9,5,0,0,0.651341006933828,NA,NA,NA,0.76076705384563
HNRNPAB,4,0,0,0.651563193817181,NA,NA,NA,0.760978187158959
PSMG4,2,0,0,0.652054528014449,NA,NA,NA,0.761921613533745
LRRFIP2,5,0,0,0.652280011078504,NA,NA,NA,0.762242493132424
ALDH1B1,3,0,0,0.65264385255532,NA,NA,NA,0.762462188972817
MOSPD2,4,0,0,0.652939132265552,NA,NA,NA,0.76262894654063
CEP68,2,0,0,0.653426150008066,NA,NA,NA,0.762740212540944
BMP6,7,0,0,0.652939132265552,NA,NA,NA,0.7628550069994
TMEM44,2,0,0,0.653426150008066,NA,NA,NA,0.762918832819591
CHMP3,4,0,0,0.653426150008066,NA,NA,NA,0.763078191398499
SMNDC1,3,0,0,0.654027371149643,NA,NA,NA,0.763411712981623
ZNF22,3,0,0,0.65421215755017,NA,NA,NA,0.763596693446696
MFSD1,3,0,0,0.65421215755017,NA,NA,NA,0.763727805697647
SLC35G2,2,0,0,0.655554801661662,NA,NA,NA,0.764936738781083
FAM210A,5,0,0,0.656126119246423,NA,NA,NA,0.765350708110622
TIFA,3,0,0,0.656262799997658,NA,NA,NA,0.765524843331042
C14orf119,4,0,0,0.656126119246423,NA,NA,NA,0.765569910603008
SETD9,2,0,0,0.656262799997658,NA,NA,NA,0.765670819238872
METTL25,2,0,0,0.656326970079414,NA,NA,NA,0.765709405386366
SERPINB9,4,0,0,0.656262799997658,NA,NA,NA,0.765854468920364
DKK3,6,0,0,0.656262799997658,NA,NA,NA,0.765912965426217
ZNF44,2,0,0,0.656262799997658,NA,NA,NA,0.766045991930429
TENT2,2,0,0,0.656262799997658,NA,NA,NA,0.766189241843682
LPP,4,0,0,0.657341622640715,NA,NA,NA,0.766639705878767
SERF2,3,0,0,0.657242087884585,NA,NA,NA,0.766660462866814
UBE2Z,3,0,0,0.657930457193955,NA,NA,NA,0.767651266107129
PSEN1,3,0,0,0.658279636738654,NA,NA,NA,0.767992870800745
MPZL1,9,0,0,0.658279636738654,NA,NA,NA,0.768217358456105
ARID3A,5,0,0,0.658613004152789,NA,NA,NA,0.768544401368498
USP7,6,0,0,0.658613004152789,NA,NA,NA,0.768546684830425
KIFAP3,2,0,0,0.658613004152789,NA,NA,NA,0.768567073174469
POLI,2,0,0,0.658613004152789,NA,NA,NA,0.768757896960371
JPT2,6,0,0,0.658988948133729,NA,NA,NA,0.769017069784185
RNF141,8,0,0,0.658988948133729,NA,NA,NA,0.769232391859889
CCDC14,2,0,0,0.659542446961891,NA,NA,NA,0.769403713835049
ENDOD1,3,0,0,0.660264177627475,NA,NA,NA,0.770686105919348
